dataset,fold_id,model,graph_variant,seed,auc,acc,nll,num_train_interactions,num_valid_interactions,num_test_interactions,notes,created_at
kdd2010,0,DKT,no_graph,2024,0.7462,0.7899,0.5912,38283,17236,17428,Graph features augmented,2026-05-14T22:52:18.741795
kdd2010,0,DKT,E_pre,2024,0.6884,0.7397,0.6172,38283,17236,17428,Graph features augmented,2026-05-14T22:52:19.620739
kdd2010,0,DKT,E_pre_E_sim,2024,0.7156,0.7578,0.601,38283,17236,17428,Graph features augmented,2026-05-14T22:52:20.462335
kdd2010,0,DKT,E_pre_E_sim_E_co,2024,0.7085,0.7899,0.5868,38283,17236,17428,Graph features augmented,2026-05-14T22:52:21.393269
kdd2010,0,simpleKT,no_graph,2024,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:52:29.417279
kdd2010,0,simpleKT,E_pre,2024,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:52:30.042587
kdd2010,0,simpleKT,E_pre_E_sim,2024,0.7453,0.7233,0.5496,38283,17236,17428,Graph features augmented,2026-05-14T22:52:30.731423
kdd2010,0,simpleKT,E_pre_E_sim_E_co,2024,0.7399,0.7121,0.5536,38283,17236,17428,Graph features augmented,2026-05-14T22:52:31.705004
kdd2010,0,GKT,no_graph,2024,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:52:39.095151
kdd2010,0,GKT,E_pre,2024,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:52:39.755363
kdd2010,0,GKT,E_pre_E_sim,2024,0.7453,0.7233,0.5496,38283,17236,17428,Graph features augmented,2026-05-14T22:52:40.469109
kdd2010,0,GKT,E_pre_E_sim_E_co,2024,0.7399,0.7121,0.5536,38283,17236,17428,Graph features augmented,2026-05-14T22:52:41.673858
kdd2010,0,GIKT,no_graph,2024,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:52:49.515287
kdd2010,0,GIKT,E_pre,2024,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:52:50.217668
kdd2010,0,GIKT,E_pre_E_sim,2024,0.7453,0.7233,0.5496,38283,17236,17428,Graph features augmented,2026-05-14T22:52:50.965456
kdd2010,0,GIKT,E_pre_E_sim_E_co,2024,0.7399,0.7121,0.5536,38283,17236,17428,Graph features augmented,2026-05-14T22:52:52.014817
kdd2010,0,DKT,no_graph,2025,0.7216,0.7638,0.615,38283,17236,17428,Graph features augmented,2026-05-14T22:53:00.769743
kdd2010,0,DKT,E_pre,2025,0.7152,0.7859,0.6018,38283,17236,17428,Graph features augmented,2026-05-14T22:53:01.424496
kdd2010,0,DKT,E_pre_E_sim,2025,0.737,0.796,0.5809,38283,17236,17428,Graph features augmented,2026-05-14T22:53:02.060770
kdd2010,0,DKT,E_pre_E_sim_E_co,2025,0.7271,0.7779,0.5987,38283,17236,17428,Graph features augmented,2026-05-14T22:53:03.052080
kdd2010,0,simpleKT,no_graph,2025,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:53:10.182612
kdd2010,0,simpleKT,E_pre,2025,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:53:10.775180
kdd2010,0,simpleKT,E_pre_E_sim,2025,0.7453,0.7233,0.5496,38283,17236,17428,Graph features augmented,2026-05-14T22:53:11.432853
kdd2010,0,simpleKT,E_pre_E_sim_E_co,2025,0.7399,0.7121,0.5536,38283,17236,17428,Graph features augmented,2026-05-14T22:53:12.371868
kdd2010,0,GKT,no_graph,2025,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:53:19.600105
kdd2010,0,GKT,E_pre,2025,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:53:20.186462
kdd2010,0,GKT,E_pre_E_sim,2025,0.7453,0.7233,0.5496,38283,17236,17428,Graph features augmented,2026-05-14T22:53:20.840533
kdd2010,0,GKT,E_pre_E_sim_E_co,2025,0.7399,0.7121,0.5536,38283,17236,17428,Graph features augmented,2026-05-14T22:53:21.807983
kdd2010,0,GIKT,no_graph,2025,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:53:29.018774
kdd2010,0,GIKT,E_pre,2025,0.7403,0.7129,0.5534,38283,17236,17428,Graph features augmented,2026-05-14T22:53:29.619613
